nome_estado;municipio;posicao_ebt;nota;dt_inicio_avaliacao;dt_fim_avaliacao;total_pontos;;;;
Santa Catarina;Apiúna;1;10;29/01/2015;12/03/2015;3600;;;;
São Paulo;São Paulo;1;10;01/04/2015;24/04/2015;3600;;;;
Paraíba;Nazarezinho;3;9.58;19/01/2015;17/03/2015;3450;;;;
Santa Catarina;Correia Pinto;4;9.44;05/02/2015;12/03/2015;3400;;;;
Santa Catarina;Frei Rogério;4;9.44;05/02/2015;12/03/2015;3400;;;;
Paraná;Curitiba;6;9.31;01/04/2015;24/04/2015;3350;;;;
Santa Catarina;Imbuia;7;9.17;06/02/2015;16/03/2015;3300;;;;
Distrito Federal;Brasília;8;8.89;31/03/2015;23/04/2015;3200;;;;
Pernambuco;Recife;9;8.75;01/04/2015;27/04/2015;3150;;;;
Ceará;Fortaleza;10;8.61;31/03/2015;23/04/2015;3100;;;;
Paraíba;São José do Sabugi;11;8.47;22/01/2015;17/03/2015;3050;;;;
Paraíba;João Pessoa;11;8.47;01/04/2015;24/04/2015;3050;;;;
Santa Catarina;Florianópolis;11;8.47;01/04/2015;24/04/2015;3050;;;;
Paraíba;Taperoá;14;8.33;22/01/2015;17/03/2015;3000;;;;
Santa Catarina;Monte Carlo;15;8.19;02/02/2015;16/03/2015;2950;;;;
Santa Catarina;Bombinhas;15;8.19;29/01/2015;12/03/2015;2950;;;;
Rio Grande do Sul;São Paulo das Missões;15;8.19;13/01/2015;17/03/2015;2950;;;;
Rio Grande do Sul;Porto Alegre;18;7.92;31/03/2015;23/04/2015;2850;;;;
Minas Gerais;Belo Horizonte;18;7.92;31/03/2015;23/04/2015;2850;;;;
Goiás;Goiânia;20;7.78;01/04/2015;24/04/2015;2800;;;;
Acre;Rio Branco;20;7.78;31/03/2015;24/04/2015;2800;;;;
Pernambuco;Sairé;22;7.64;21/01/2015;17/03/2015;2750;;;;
Rio Grande do Norte;Natal;22;7.64;01/04/2015;24/04/2015;2750;;;;
Rio Grande do Sul;Camargo;22;7.64;05/02/2015;17/03/2015;2750;;;;
Rio Grande do Sul;Imigrante;25;7.36;21/01/2015;17/03/2015;2650;;;;
Rio Grande do Sul;Muitos Capões;25;7.36;28/01/2015;17/03/2015;2650;;;;
Rio Grande do Sul;Tio Hugo;25;7.36;13/01/2015;18/03/2015;2650;;;;
Santa Catarina;Vargeão;28;6.94;06/02/2015;16/03/2015;2500;;;;
Mato Grosso do Sul;Campo Grande;29;6.81;01/04/2015;24/04/2015;2450;;;;
Bahia;Salvador;30;6.67;01/04/2015;24/04/2015;2400;;;;
Rio Grande do Sul;São Sepé;31;6.25;13/01/2015;17/03/2015;2250;;;;
Rio Grande do Sul;Pejuçara;32;6.11;12/01/2015;17/03/2015;2200;;;;
Rio Grande do Sul;Forquetinha;32;6.11;20/01/2015;17/03/2015;2200;;;;
São Paulo;Alto Alegre;32;6.11;12/01/2015;10/03/2015;2200;;;;
Mato Grosso do Sul;Terenos;32;6.11;20/01/2015;05/03/2015;2200;;;;
São Paulo;Ribeirão Bonito;36;5.56;24/02/2015;19/03/2015;2000;;;;
Rio Grande do Sul;Picada Café;36;5.56;12/01/2015;17/03/2015;2000;;;;
Rio Grande do Sul;Nova Petrópolis;38;5.42;12/01/2015;17/03/2015;1950;;;;
Santa Catarina;Campo Erê;39;5.28;04/02/2015;12/03/2015;1900;;;;
Santa Catarina;Presidente Getúlio;39;5.28;06/02/2015;16/03/2015;1900;;;;
Santa Catarina;Lauro Muller;39;5.28;05/02/2015;25/03/2015;1900;;;;
Santa Catarina;Luzerna;39;5.28;02/02/2015;16/03/2015;1900;;;;
Mato Grosso;Cuiabá;39;5.28;01/04/2015;24/04/2015;1900;;;;
Paraíba;Assunção;39;5.28;20/01/2015;16/03/2015;1900;;;;
Minas Gerais;Gonçalves;39;5.28;26/01/2015;16/03/2015;1900;;;;
Espírito Santo;Vitória;46;5;01/04/2015;24/04/2015;1800;;;;
Amazonas;Manaus;46;5;31/03/2015;27/04/2015;1800;;;;
Tocantins;Palmas;46;5;31/03/2015;23/04/2015;1800;;;;
Santa Catarina;Ibicaré;49;4.86;27/01/2015;16/03/2015;1750;;;;
Rio Grande do Sul;Não-Me-Toque;50;4.72;28/01/2015;17/03/2015;1700;;;;
Rio de Janeiro;Rio de Janeiro;50;4.72;31/03/2015;24/04/2015;1700;;;;
Minas Gerais;Morada Nova de Minas;52;4.44;26/01/2015;17/03/2015;1600;;;;
Sergipe;Aracaju;52;4.44;01/04/2015;24/04/2015;1600;;;;
São Paulo;Sabino;54;4.31;24/02/2015;20/03/2015;1550;;;;
São Paulo;Pontal;55;4.03;23/02/2015;18/03/2015;1450;;;;
Rio Grande do Sul;Nonoai;55;4.03;28/01/2015;17/03/2015;1450;;;;
Rio Grande do Sul;Muçum;55;4.03;28/01/2015;17/03/2015;1450;;;;
Mato Grosso do Sul;Pedro Gomes;55;4.03;19/01/2015;06/03/2015;1450;;;;
Mato Grosso;Tapurah;55;4.03;16/01/2015;17/03/2015;1450;;;;
Mato Grosso;Nova Canaã do Norte;55;4.03;20/01/2015;04/03/2015;1450;;;;
Paraíba;Monte Horebe;61;3.89;21/01/2015;16/03/2015;1400;;;;
Rio Grande do Sul;Cândido Godói;61;3.89;16/01/2015;17/03/2015;1400;;;;
São Paulo;Santa Gertrudes;61;3.89;25/02/2015;20/03/2015;1400;;;;
Santa Catarina;Orleans;61;3.89;04/02/2015;16/03/2015;1400;;;;
Piauí;Teresina;65;3.61;01/04/2015;24/04/2015;1300;;;;
Mato Grosso;Campinápolis;66;3.47;20/01/2015;05/03/2015;1250;;;;
Pernambuco;Santa Filomena;67;3.33;12/02/2015;16/03/2015;1200;;;;
Ceará;Carnaubal;67;3.33;11/02/2015;17/03/2015;1200;;;;
São Paulo;Casa Branca;67;3.33;14/01/2015;10/03/2015;1200;;;;
Rio Grande do Sul;Santo Expedito do Sul;70;3.06;13/01/2015;17/03/2015;1100;;;;
Minas Gerais;Monte Santo de Minas;70;3.06;26/01/2015;17/03/2015;1100;;;;
Minas Gerais;Alvarenga;72;2.78;24/02/2015;19/03/2015;1000;;;;
Mato Grosso;Cotriguaçu;72;2.78;20/01/2015;05/03/2015;1000;;;;
Paraíba;Manaíra;72;2.78;21/01/2015;16/03/2015;1000;;;;
Paraíba;Desterro;72;2.78;20/01/2015;16/03/2015;1000;;;;
Paraíba;Dona Inês;72;2.78;20/01/2015;16/03/2015;1000;;;;
Santa Catarina;Bocaina do Sul;72;2.78;29/01/2015;12/03/2015;1000;;;;
Santa Catarina;Bom Retiro;72;2.78;29/01/2015;12/03/2015;1000;;;;
Rio Grande do Sul;Gentil;72;2.78;20/01/2015;17/03/2015;1000;;;;
São Paulo;Cerqueira César;72;2.78;14/01/2015;11/03/2015;1000;;;;
Santa Catarina;Paial;72;2.78;03/02/2015;16/03/2015;1000;;;;
Santa Catarina;Tunápolis;72;2.78;06/02/2015;16/03/2015;1000;;;;
Santa Catarina;Campo Belo do Sul;72;2.78;04/02/2015;12/03/2015;1000;;;;
Santa Catarina;Lindóia do Sul;72;2.78;05/02/2015;16/03/2015;1000;;;;
São Paulo;Nipoã;72;2.78;19/02/2015;18/03/2015;1000;;;;
São Paulo;Paranapanema;72;2.78;19/02/2015;18/03/2015;1000;;;;
São Paulo;Floreal;72;2.78;14/01/2015;11/03/2015;1000;;;;
São Paulo;Ipiguá;88;2.5;11/02/2015;26/03/2015;900;;;;
Roraima;Boa Vista;88;2.5;31/03/2015;23/04/2015;900;;;;
Rio Grande do Norte;Passagem;88;2.5;14/01/2015;16/03/2015;900;;;;
Rio Grande do Sul;Taquari;88;2.5;12/01/2015;18/03/2015;900;;;;
São Paulo;Piquete;88;2.5;20/02/2015;18/03/2015;900;;;;
Mato Grosso do Sul;Inocência;88;2.5;19/01/2015;06/03/2015;900;;;;
Pernambuco;Passira;88;2.5;21/01/2015;17/03/2015;900;;;;
Espírito Santo;Boa Esperança;88;2.5;29/01/2015;16/03/2015;900;;;;
Bahia;Buritirama;96;2.22;26/01/2015;18/03/2015;800;;;;
Paraná;Morretes;96;2.22;01/04/2015;24/04/2015;800;;;;
Minas Gerais;Pedralva;96;2.22;13/01/2015;16/03/2015;800;;;;
Santa Catarina;Botuverá;96;2.22;03/02/2015;12/03/2015;800;;;;
Rio Grande do Sul;Montauri;96;2.22;28/01/2015;17/03/2015;800;;;;
Rio Grande do Sul;União da Serra;101;2.08;14/01/2015;18/03/2015;750;;;;
Paraíba;Barra de Santana;101;2.08;20/01/2015;16/03/2015;750;;;;
Mato Grosso;São José do Povo;101;2.08;15/01/2015;17/03/2015;750;;;;
Pará;Belém;101;2.08;31/03/2015;23/04/2015;750;;;;
Mato Grosso;São José do Rio Claro;105;1.94;15/01/2015;17/03/2015;700;;;;
Mato Grosso;Nova Olímpia;105;1.94;20/01/2015;05/03/2015;700;;;;
Paraíba;Camalaú;105;1.94;20/01/2015;16/03/2015;700;;;;
Paraíba;Soledade;105;1.94;22/01/2015;17/03/2015;700;;;;
Minas Gerais;Novo Oriente de Minas;105;1.94;26/01/2015;17/03/2015;700;;;;
Minas Gerais;São Gonçalo do Rio Abaixo;105;1.94;15/01/2015;17/03/2015;700;;;;
Minas Gerais;São Tomás de Aquino;105;1.94;16/01/2015;10/03/2015;700;;;;
Minas Gerais;Serranos;105;1.94;19/01/2015;10/03/2015;700;;;;
Minas Gerais;Tapira;105;1.94;19/01/2015;10/03/2015;700;;;;
Paraná;Jardim Alegre;105;1.94;31/03/2015;24/04/2015;700;;;;
Pernambuco;Paranatama;105;1.94;21/01/2015;17/03/2015;700;;;;
Paraná;Guapirama;105;1.94;05/02/2015;17/03/2015;700;;;;
Amazonas;Canutama;105;1.94;16/01/2015;17/03/2015;700;;;;
Bahia;Anguera;105;1.94;13/01/2015;17/03/2015;700;;;;
Bahia;Coribe;105;1.94;26/01/2015;18/03/2015;700;;;;
Amazonas;Fonte Boa;105;1.94;16/01/2015;17/03/2015;700;;;;
Bahia;Elísio Medrado;105;1.94;28/01/2015;18/03/2015;700;;;;
Bahia;Ibicaraí;105;1.94;28/01/2015;18/03/2015;700;;;;
Bahia;Ibirapuã;105;1.94;28/01/2015;18/03/2015;700;;;;
Bahia;Ibotirama;105;1.94;03/02/2015;18/03/2015;700;;;;
Amazonas;Rio Preto da Eva;105;1.94;15/01/2015;17/03/2015;700;;;;
Bahia;Serrolândia;105;1.94;22/01/2015;13/03/2015;700;;;;
Bahia;Santa Inês;105;1.94;22/01/2015;13/03/2015;700;;;;
Bahia;Tanque Novo;105;1.94;06/02/2015;16/03/2015;700;;;;
Bahia;Itagimirim;105;1.94;03/02/2015;18/03/2015;700;;;;
Bahia;Itarantim;105;1.94;03/02/2015;18/03/2015;700;;;;
Bahia;Jacaraci;105;1.94;28/01/2015;18/03/2015;700;;;;
Bahia;Nova Canaã;105;1.94;21/01/2015;13/03/2015;700;;;;
Bahia;Paripiranga;105;1.94;21/01/2015;13/03/2015;700;;;;
Bahia;Presidente Dutra;105;1.94;21/01/2015;13/03/2015;700;;;;
Minas Gerais;Chapada do Norte;105;1.94;27/01/2015;05/03/2015;700;;;;
Goiás;Aurilândia;105;1.94;29/01/2015;17/03/2015;700;;;;
Minas Gerais;Arceburgo;105;1.94;24/02/2015;19/03/2015;700;;;;
Rio Grande do Sul;Travesseiro;105;1.94;13/01/2015;18/03/2015;700;;;;
Santa Catarina;Armazém;105;1.94;29/01/2015;12/03/2015;700;;;;
Rio Grande do Sul;Nova Bassano;105;1.94;03/02/2015;17/03/2015;700;;;;
Rio Grande do Sul;Novo Machado;105;1.94;12/01/2015;17/03/2015;700;;;;
Rio Grande do Sul;Santa Clara do Sul;105;1.94;13/01/2015;17/03/2015;700;;;;
Rio Grande do Sul;Liberato Salzano;105;1.94;26/01/2015;17/03/2015;700;;;;
Rio Grande do Sul;Independência;105;1.94;21/01/2015;17/03/2015;700;;;;
Rio Grande do Sul;Capão do Cipó;105;1.94;16/01/2015;17/03/2015;700;;;;
Rio Grande do Sul;Campina das Missões;105;1.94;01/04/2015;24/04/2015;700;;;;
Rio Grande do Sul;Candelária;105;1.94;15/01/2015;17/03/2015;700;;;;
Paraná;Pinhalão;105;1.94;01/04/2015;24/04/2015;700;;;;
Rondônia;Alvorada D'Oeste;105;1.94;28/01/2015;17/03/2015;700;;;;
Rondônia;Monte Negro;105;1.94;28/01/2015;17/03/2015;700;;;;
Rondônia;Parecis;105;1.94;30/01/2015;17/03/2015;700;;;;
São Paulo;Guareí;105;1.94;16/01/2015;11/03/2015;700;;;;
São Paulo;Santa Salete;105;1.94;25/02/2015;23/03/2015;700;;;;
São Paulo;Riolândia;105;1.94;24/02/2015;19/03/2015;700;;;;
São Paulo;Ubarana;105;1.94;13/02/2015;16/03/2015;700;;;;
São Paulo;Barra do Chapéu;105;1.94;14/01/2015;10/03/2015;700;;;;
São Paulo;Brotas;105;1.94;14/01/2015;10/03/2015;700;;;;
Sergipe;São Francisco;105;1.94;13/01/2015;09/03/2015;700;;;;
Sergipe;Gracho Cardoso;105;1.94;14/01/2015;09/03/2015;700;;;;
Pará;Rio Maria;160;1.67;15/01/2015;17/03/2015;600;;;;
São Paulo;Angatuba;161;1.53;13/01/2015;10/03/2015;550;;;;
São Paulo;Aspásia;162;1.39;13/01/2015;10/03/2015;500;;;;
São Paulo;Alfredo Marcondes;162;1.39;12/01/2015;10/03/2015;500;;;;
São Paulo;Bariri;162;1.39;14/01/2015;10/03/2015;500;;;;
São Paulo;Estrela do Norte;162;1.39;14/01/2015;11/03/2015;500;;;;
Rio Grande do Sul;Relvado;162;1.39;13/01/2015;17/03/2015;500;;;;
Rio Grande do Sul;Três Arroios;162;1.39;14/01/2015;18/03/2015;500;;;;
Paraíba;Riacho de Santo Antônio;162;1.39;29/01/2015;17/03/2015;500;;;;
Mato Grosso;Santo Antônio do Leste;162;1.39;20/01/2015;05/03/2015;500;;;;
Paraíba;Nova Palmeira;162;1.39;21/01/2015;17/03/2015;500;;;;
Minas Gerais;Varjão de Minas;162;1.39;19/01/2015;10/03/2015;500;;;;
Paraná;Reserva do Iguaçu;162;1.39;01/04/2015;24/04/2015;500;;;;
Pernambuco;Caetés;162;1.39;20/01/2015;17/03/2015;500;;;;
Goiás;Anicuns;162;1.39;29/01/2015;17/03/2015;500;;;;
Goiás;Cezarina;162;1.39;29/01/2015;17/03/2015;500;;;;
Goiás;Matrinchã;162;1.39;02/02/2015;18/03/2015;500;;;;
Minas Gerais;Cedro do Abaeté;162;1.39;27/01/2015;05/03/2015;500;;;;
Amazonas;Tonantins;162;1.39;15/01/2015;17/03/2015;500;;;;
Alagoas;São Miguel dos Milagres;162;1.39;19/01/2015;17/03/2015;500;;;;
Alagoas;São Sebastião;162;1.39;19/01/2015;17/03/2015;500;;;;
Bahia;Dom Macedo Costa;162;1.39;27/01/2015;18/03/2015;500;;;;
Alagoas;Maceió;182;1.11;01/04/2015;24/04/2015;400;;;;
Pernambuco;Tacaimbó;183;0.83;12/02/2015;16/03/2015;300;;;;
Rio de Janeiro;São José de Ubá;183;0.83;14/01/2015;18/03/2015;300;;;;
Minas Gerais;Ubaporanga;183;0.83;19/01/2015;10/03/2015;300;;;;
São Paulo;Silveiras;183;0.83;12/02/2015;07/03/2015;300;;;;
Rio Grande do Sul;Dona Francisca;187;0.56;19/01/2015;17/03/2015;200;;;;
Rio Grande do Sul;Engenho Velho;188;0;20/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;Erval Seco;188;0;20/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;Harmonia;188;0;21/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;Jaquirana;188;0;26/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;Capão do Leão;188;0;19/01/2015;17/03/2015;0;;;;
Roraima;Caroebe;188;0;03/02/2015;17/03/2015;0;;;;
Rio Grande do Sul;Augusto Pestana;188;0;04/02/2015;17/03/2015;0;;;;
Rio Grande do Sul;Bom Progresso;188;0;04/02/2015;17/03/2015;0;;;;
Rondônia;Porto Velho;188;0;31/03/2015;23/04/2015;0;;;;
Rondônia;São Felipe D'Oeste;188;0;03/02/2015;17/03/2015;0;;;;
Roraima;Alto Alegre;188;0;03/02/2015;17/03/2015;0;;;;
Rondônia;Corumbiara;188;0;28/01/2015;17/03/2015;0;;;;
Paraná;Quarto Centenário;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Rancho Alegre D'Oeste;188;0;01/04/2015;24/04/2015;0;;;;
Rio Grande do Norte;Serra Caiada;188;0;16/01/2015;16/03/2015;0;;;;
Rio Grande do Norte;Pureza;188;0;16/01/2015;16/03/2015;0;;;;
Rio Grande do Norte;Rafael Godeiro;188;0;19/01/2015;16/03/2015;0;;;;
Rio Grande do Norte;Riacho de Santana;188;0;19/01/2015;16/03/2015;0;;;;
Rio Grande do Norte;São Fernando;188;0;19/01/2015;16/03/2015;0;;;;
Rio Grande do Norte;São Miguel;188;0;19/01/2015;16/03/2015;0;;;;
Rio Grande do Norte;Senador Elói de Souza;188;0;19/01/2015;16/03/2015;0;;;;
Santa Catarina;Alfredo Wagner;188;0;29/01/2015;16/03/2015;0;;;;
Rio Grande do Sul;Tavares;188;0;13/01/2015;18/03/2015;0;;;;
Santa Catarina;Balneário Barra do Sul;188;0;29/01/2015;12/03/2015;0;;;;
Santa Catarina;Celso Ramos;188;0;04/02/2015;12/03/2015;0;;;;
Rio Grande do Sul;Rolante;188;0;13/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;Santana da Boa Vista;188;0;13/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;São Vicente do Sul;188;0;13/01/2015;17/03/2015;0;;;;
Rio Grande do Sul;Senador Salgado Filho;188;0;13/01/2015;18/03/2015;0;;;;
São Paulo;Tanabi;188;0;12/02/2015;07/03/2015;0;;;;
São Paulo;Tarumã;188;0;12/02/2015;07/03/2015;0;;;;
São Paulo;Tejupá;188;0;12/02/2015;07/03/2015;0;;;;
São Paulo;São Pedro;188;0;12/02/2015;07/03/2015;0;;;;
São Paulo;Serrana;188;0;12/02/2015;07/03/2015;0;;;;
Tocantins;Axixá do Tocantins;188;0;13/02/2015;09/03/2015;0;;;;
Tocantins;Barrolândia;188;0;13/02/2015;09/03/2015;0;;;;
Tocantins;Brejinho de Nazaré;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Buriti do Tocantins;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Carrasco Bonito;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Chapada de Areia;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Divinópolis do Tocantins;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Lajeado;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Marianópolis do Tocantins;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Nazaré;188;0;18/02/2015;13/03/2015;0;;;;
São Paulo;São Joaquim da Barra;188;0;25/02/2015;20/03/2015;0;;;;
São Paulo;São Manuel;188;0;26/02/2015;21/03/2015;0;;;;
São Paulo;São Miguel Arcanjo;188;0;26/02/2015;21/03/2015;0;;;;
São Paulo;Pedreira;188;0;20/02/2015;18/03/2015;0;;;;
São Paulo;Redenção da Serra;188;0;23/02/2015;18/03/2015;0;;;;
São Paulo;Ribeira;188;0;23/02/2015;18/03/2015;0;;;;
São Paulo;Indiana;188;0;14/01/2015;11/03/2015;0;;;;
São Paulo;Gália;188;0;16/01/2015;11/03/2015;0;;;;
São Paulo;Itatinga;188;0;03/03/2015;26/03/2015;0;;;;
São Paulo;José Bonifácio;188;0;03/03/2015;26/03/2015;0;;;;
São Paulo;Lucélia;188;0;18/03/2015;27/04/2015;0;;;;
São Paulo;Macatuba;188;0;12/02/2015;18/03/2015;0;;;;
São Paulo;Miguelópolis;188;0;13/02/2015;18/03/2015;0;;;;
São Paulo;Mirandópolis;188;0;13/02/2015;18/03/2015;0;;;;
Sergipe;Telha;188;0;13/01/2015;09/03/2015;0;;;;
São Paulo;Adolfo;188;0;13/01/2015;09/03/2015;0;;;;
São Paulo;Avaí;188;0;14/01/2015;10/03/2015;0;;;;
Sergipe;Malhador;188;0;14/01/2015;09/03/2015;0;;;;
Sergipe;Pinhão;188;0;14/01/2015;09/03/2015;0;;;;
Sergipe;Porto da Folha;188;0;13/01/2015;05/03/2015;0;;;;
Sergipe;Frei Paulo;188;0;14/01/2015;05/03/2015;0;;;;
Santa Catarina;Passo de Torres;188;0;06/02/2015;16/03/2015;0;;;;
Tocantins;Palmeirante;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Presidente Kennedy;188;0;18/02/2015;13/03/2015;0;;;;
Tocantins;Sucupira;188;0;18/02/2015;13/03/2015;0;;;;
Minas Gerais;Silvianópolis;188;0;19/01/2015;10/03/2015;0;;;;
Minas Gerais;São Vicente de Minas;188;0;16/01/2015;10/03/2015;0;;;;
Minas Gerais;Senhora dos Remédios;188;0;16/01/2015;10/03/2015;0;;;;
Minas Gerais;Serra Azul de Minas;188;0;16/01/2015;10/03/2015;0;;;;
Minas Gerais;Serrania;188;0;16/01/2015;10/03/2015;0;;;;
Minas Gerais;Virgínia;188;0;19/01/2015;10/03/2015;0;;;;
Mato Grosso do Sul;Camapuã;188;0;19/01/2015;05/03/2015;0;;;;
Mato Grosso do Sul;Costa Rica;188;0;19/01/2015;05/03/2015;0;;;;
Mato Grosso do Sul;Fátima do Sul;188;0;19/01/2015;05/03/2015;0;;;;
Mato Grosso do Sul;Miranda;188;0;19/01/2015;06/03/2015;0;;;;
Mato Grosso do Sul;Sonora;188;0;20/01/2015;06/03/2015;0;;;;
Minas Gerais;São João Batista do Glória;188;0;15/01/2015;17/03/2015;0;;;;
Minas Gerais;São João do Oriente;188;0;16/01/2015;17/03/2015;0;;;;
Minas Gerais;São José da Lapa;188;0;16/01/2015;17/03/2015;0;;;;
Minas Gerais;São Pedro da União;188;0;16/01/2015;17/03/2015;0;;;;
Minas Gerais;São Roque de Minas;188;0;16/01/2015;17/03/2015;0;;;;
Minas Gerais;São Tiago;188;0;16/01/2015;17/03/2015;0;;;;
Minas Gerais;Olaria;188;0;26/01/2015;17/03/2015;0;;;;
Minas Gerais;Paiva;188;0;13/01/2015;16/03/2015;0;;;;
Minas Gerais;Munhoz;188;0;26/01/2015;17/03/2015;0;;;;
Minas Gerais;Pedrinópolis;188;0;13/01/2015;16/03/2015;0;;;;
Minas Gerais;Periquito;188;0;13/01/2015;16/03/2015;0;;;;
Minas Gerais;Pimenta;188;0;14/01/2015;16/03/2015;0;;;;
Minas Gerais;Pratápolis;188;0;14/01/2015;16/03/2015;0;;;;
Minas Gerais;Queluzito;188;0;14/01/2015;16/03/2015;0;;;;
Minas Gerais;Rio do Prado;188;0;14/01/2015;16/03/2015;0;;;;
Minas Gerais;Rio Novo;188;0;14/01/2015;16/03/2015;0;;;;
Minas Gerais;Romaria;188;0;14/01/2015;16/03/2015;0;;;;
Minas Gerais;Santa Cruz de Minas;188;0;14/01/2015;17/03/2015;0;;;;
Minas Gerais;Santa Rita de Jacutinga;188;0;15/01/2015;17/03/2015;0;;;;
Minas Gerais;Santo Antônio do Grama;188;0;15/01/2015;17/03/2015;0;;;;
Paraíba;Pedra Branca;188;0;21/01/2015;17/03/2015;0;;;;
Paraíba;São José do Brejo do Cruz;188;0;27/01/2015;17/03/2015;0;;;;
Mato Grosso;Torixoréu;188;0;16/01/2015;17/03/2015;0;;;;
Paraíba;Mari;188;0;21/01/2015;16/03/2015;0;;;;
Pará;Sapucaia;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Terra Alta;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Vitória do Xingu;188;0;15/01/2015;17/03/2015;0;;;;
Paraíba;Algodão de Jandaíra;188;0;20/01/2015;16/03/2015;0;;;;
Pará;Brejo Grande do Araguaia;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Cachoeira do Piriá;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Concórdia do Pará;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Nova Timboteua;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Pacajá;188;0;15/01/2015;17/03/2015;0;;;;
Pará;Pau D'Arco;188;0;15/01/2015;17/03/2015;0;;;;
Mato Grosso;Santo Afonso;188;0;20/01/2015;05/03/2015;0;;;;
Mato Grosso;Serra Nova Dourada;188;0;16/01/2015;17/03/2015;0;;;;
Mato Grosso;General Carneiro;188;0;20/01/2015;05/03/2015;0;;;;
Rio de Janeiro;Silva Jardim;188;0;14/01/2015;18/03/2015;0;;;;
Rio de Janeiro;Sumidouro;188;0;14/01/2015;18/03/2015;0;;;;
Rio Grande do Norte;Espírito Santo;188;0;14/01/2015;17/03/2015;0;;;;
Rio Grande do Norte;Jardim de Piranhas;188;0;13/01/2015;17/03/2015;0;;;;
Rio Grande do Norte;José da Penha;188;0;13/01/2015;13/03/2015;0;;;;
Rio Grande do Norte;Jundiá;188;0;13/01/2015;13/03/2015;0;;;;
Rio Grande do Norte;Lagoa de Velhos;188;0;13/01/2015;13/03/2015;0;;;;
Rio Grande do Norte;Montanhas;188;0;14/01/2015;13/03/2015;0;;;;
Paraná;Santa Cecília do Pavão;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Santa Cruz de Monte Castelo;188;0;14/01/2015;18/03/2015;0;;;;
Paraná;Santa Mariana;188;0;15/01/2015;18/03/2015;0;;;;
Paraná;São Jorge d'Oeste;188;0;15/01/2015;18/03/2015;0;;;;
Paraná;Saudade do Iguaçu;188;0;15/01/2015;18/03/2015;0;;;;
Paraná;Siqueira Campos;188;0;15/01/2015;18/03/2015;0;;;;
Paraná;Tupãssi;188;0;15/01/2015;18/03/2015;0;;;;
Rio de Janeiro;Armação dos Búzios;188;0;16/01/2015;17/03/2015;0;;;;
Rio de Janeiro;Itatiaia;188;0;16/01/2015;17/03/2015;0;;;;
Paraná;Iguaraçu;188;0;09/02/2015;17/03/2015;0;;;;
Paraná;Ipiranga;188;0;09/02/2015;17/03/2015;0;;;;
Paraná;Ivaiporã;188;0;09/02/2015;17/03/2015;0;;;;
Paraná;Japurá;188;0;09/02/2015;17/03/2015;0;;;;
Paraná;Grandes Rios;188;0;04/02/2015;17/03/2015;0;;;;
Paraná;Guaíra;188;0;05/02/2015;17/03/2015;0;;;;
Paraná;Jardim Olinda;188;0;31/03/2015;23/04/2015;0;;;;
Paraná;Maria Helena;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Missal;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Moreira Sales;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Nova Esperança;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Paraíso do Norte;188;0;01/04/2015;24/04/2015;0;;;;
Paraná;Perobal;188;0;01/04/2015;24/04/2015;0;;;;
Pernambuco;Tamandaré;188;0;12/02/2015;16/03/2015;0;;;;
Pernambuco;Vertente do Lério;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Água Branca;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Boqueirão do Piauí;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Caracol;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Caridade do Piauí;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Guadalupe;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Guaribas;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Ilha Grande;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;João Costa;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Lagoa do Barro do Piauí;188;0;12/02/2015;16/03/2015;0;;;;
Piauí;Madeiro;188;0;12/02/2015;16/03/2015;0;;;;
